LoanAmount0,LoanPeriod0,Good,PredictedGood0
2000,4,1,338
5000,10,1,481
2000,6,1,436
15000,26,1,364
6800,16,1,520
923,2,1,250
7500,17,0,418
5000,12,1,322
7500,15,1,517
5250,13,1,453
1000,2,1,428
706,4,1,532
4650,11,1,274
652,2,1,465
1309,3,1,456
11000,22,1,474
4000,8,1,297
1000,4,1,122
2700,8,1,482
700,2,1,501
10000,21,1,393
4300,11,1,471
9000,21,1,160
3500,9,1,485
2500,5,1,243
3400,7,1,459
9000,20,0,490
2000,4,1,704
4000,10,1,568
3200,7,1,470
4000,8,1,269
9393,20,1,298
2000,4,1,459
3500,7,1,395
12500,24,1,456
4700,9,1,225
4000,10,1,415
1500,3,1,170
500,4,1,320
1000,4,0,-110
5700,11,1,378
9200,20,1,357
139300,57,1,348
24300,31,1,309
18200,30,1,178
500,4,1,401
1020,5,1,4
43500,35,1,-8
1010,3,1,128
1000,4,0,-513
8500,18,1,219
18200,30,1,366
1400,5,1,373
18200,29,1,348
4000,10,1,280
4000,10,0,-551
1000,4,0,458
3400,9,1,505
10000,19,1,337
4500,11,0,-426
7200,16,1,497
2500,5,1,531
1500,3,1,420
4700,11,0,-325
500,4,0,-304
43500,37,1,270
12200,22,1,466
59568,41,1,273
5000,12,1,355
24300,32,0,185
3000,8,0,312
1000,2,1,246
5375,13,1,461
38700,36,1,414
1800,6,0,179
12200,26,0,-266
800,4,1,650
4000,10,0,101
2000,6,0,-450
6000,12,1,473
3290,8,1,520
6000,14,1,560
2226,7,0,128
2000,6,1,584
2308,7,1,302
5550,11,1,474
2308,7,0,182
4000,10,0,515
8600,17,1,505
650,2,1,357
2104,5,1,397
2400,7,1,560
7000,14,1,45
2000,6,0,-465
1000,2,1,504
6000,14,1,436
700,2,1,612
1001,5,1,241
1200,5,0,194
500,2,1,401
3500,9,0,343
3000,8,1,476
5827,12,1,291
2500,7,0,317
2298,7,0,168
500,4,1,626
652,4,1,327
3532,9,1,402
543,4,1,421
3006,8,1,382
4000,8,1,552
1337,5,0,-320
1000,4,1,666
2630,6,1,236
7900,18,0,385
10000,19,1,454
500,4,0,-407
6000,15,0,-317
600,2,1,460
4000,10,1,491
1000,2,1,251
543,4,0,141
1490,5,1,482
543,2,1,319
4325,11,1,546
1700,4,1,321
3423,7,1,336
2000,6,0,-450
1109,5,0,-385
4000,8,1,428
4500,11,1,465
11300,24,1,174
5693,13,0,220
1000,4,1,390
1500,5,1,478
1111,3,1,316
978,4,1,459
5490,11,1,573
3000,6,1,191
73665,43,0,-16
1500,5,1,448
1275,3,1,368
2000,6,1,383
4650,11,1,239
49300,38,1,245
9200,20,1,291
1380,3,1,199
6000,14,1,371
11100,23,1,432
500,4,0,-281
65300,40,1,368
6000,14,1,132
87700,49,1,343
2000,4,1,357
4700,11,1,385
2200,7,1,181
18400,28,1,338
43500,37,1,244
5500,11,1,385
5000,10,1,384
55600,39,1,319
4800,10,1,425
4700,9,1,343
8000,16,1,315
1600,6,1,292
5660,11,1,381
8850,19,1,433
40400,36,1,303
3000,8,1,493
5500,11,1,463
10000,22,1,505
3500,9,1,384
12200,24,1,511
4000,10,1,292
8000,19,1,430
6600,13,1,433
1500,5,1,573
5000,10,1,436
2000,6,1,617
3600,9,0,296
1000,4,0,-393
9000,20,0,512
3500,9,0,-413
58000,41,1,457
2000,4,1,584
30400,34,1,243
1500,3,1,544
1500,5,1,483
8000,18,1,418
4000,8,1,493
2500,5,1,482
2800,8,1,502
99800,51,0,-397
3000,6,1,430
7000,15,1,384
22700,31,1,381
4690,12,1,364
8500,18,1,344
2000,6,0,326
6250,12,1,401
5000,10,1,385
8000,16,1,436
2226,7,1,311
2000,6,0,364
10000,19,1,405
7890,17,1,385
1084,5,0,-397
760,2,1,682
4000,10,1,436
2500,7,0,185
4000,8,1,303
3000,6,1,381
1666,4,1,386
3000,8,1,345
10328,22,1,345
9680,21,1,372
1385,5,1,336
6500,13,1,288
1000,2,1,550
5000,12,1,543
1200,5,1,362
3000,8,1,384
3000,8,1,400
900,2,1,481
2000,6,1,323
2500,5,1,291
3230,9,1,182
3605,9,0,104
4250,9,1,474
5930,14,1,454
2228,5,1,441
12650,25,1,288
1360,3,1,385
600,4,0,-471
4000,8,1,405
5000,10,1,364
6000,14,1,476
6416,13,1,343
1500,5,0,674
2000,6,1,540
7000,17,1,254
6500,15,1,364
760,2,1,350
2500,7,1,562
8420,17,1,337
4500,9,1,570
5800,12,1,374
8000,16,1,384
5570,13,1,376
500,2,1,561
3500,7,1,289
10000,21,1,384
4200,9,1,444
1200,5,1,488
7000,14,1,394
1500,3,1,384
5000,12,1,305
4800,12,1,561
1663,4,1,601
6500,15,1,453
7000,16,1,433
2564,7,0,380
15000,27,1,364
3318,9,0,283
9600,22,1,433
5185,13,1,439
2000,4,1,616
5000,12,1,438
12000,22,1,487
6500,15,0,354
3300,9,0,-238
2299,5,1,348
4500,11,1,546
900,2,1,512
7000,14,1,322
2680,6,1,418
7000,16,1,577
5000,12,1,528
1200,3,1,596
1000,2,1,326
10000,19,1,508
6425,15,1,435
5500,12,1,316
1500,5,1,131
12200,24,0,274
500,4,0,-459
5800,14,1,153
2000,6,1,454
2500,5,1,335
18200,31,0,132
4700,11,0,-438
1000,2,1,485
4700,11,0,-411
13900,26,1,430
5000,10,1,279
131500,57,1,-2
3000,8,1,360
3500,9,0,-659
1500,5,1,292
3000,8,1,170
65300,43,1,289
500,4,0,-341
17400,30,1,338
4700,9,1,356
12200,25,0,348
4700,11,1,241
500,4,1,509
4700,11,0,-391
10200,23,1,408
17800,27,1,316
1000,4,0,-493
8400,19,0,-461
4700,9,1,222
4700,11,0,-326
1500,5,0,-423
2500,5,1,565
1240,5,0,-298
1600,6,0,-284
3200,9,1,303
5700,13,1,445
4700,9,1,365
72500,43,1,99
1000,4,0,372
6600,15,0,-199
69400,43,1,335
7600,15,1,322
3000,8,0,-221
2500,7,1,418
3500,9,1,317
78022,44,1,101
1000,4,1,433
5500,13,1,272
