ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
111125,652,4,1,-67,643.17171382,11.055443284,350.0000034078048
111127,652,4,0,-36,643.82796641,10.530937842,350.0000004307635
111128,2000,6,0,-433,1930.7921877,19.225682387,350.0000004916392
111130,6147,14,0,-383,6034.7712111,26.361022598,350.0000092844041
111131,690,4,0,292,688.62486165,4.9812702526,350.0000013938791
111134,5000,12,0,145,4971.723454,15.458380504,350.00135607913876
111136,2000,4,1,288,1987.703887,5.0443552797,350.00000027758915
111137,4000,10,0,-452,3898.0229445,23.533435549,350.00007084980234
111138,500,4,0,-452,490.01250528,17.57242502,350.0000004145213
111140,1671,6,1,308,1668.4067423,6.7099315309,350.00198716094974
111142,1500,5,0,-550,1435.5384716,20.208329002,350.00001028468046
111145,2000,4,1,274,1984.9273455,5.2801774354,350.00000008662823
111146,9421,18,1,232,9395.3686265,19.986750468,350.0030351470016
111147,1084,5,0,-258,1061.2378725,15.282881054,350.00000053702786
111149,540,4,1,340,539.85467058,4.1693208679,350.0057566143538
111152,1084,5,0,-303,1059.5531909,16.043949577,350.00000160680713
111153,2229,7,1,347,2228.755407,7.0512206512,350.03182912577324
111162,3418,9,0,-442,3327.189979,22.368882589,350.0000000194116
111163,2000,6,0,317,1997.0829908,6.557443803,350.00234230097794
111165,1500,3,1,276,1485.3239943,4.2464885543,350.00000001228443
111167,1500,5,1,273,1494.4848944,6.3012112008,350.00320204763364
111170,2965,6,1,321,2959.3810869,6.4885689779,350.001421338186
111171,3421,7,1,168,3386.5083583,10.066367683,350.0000000731951
111174,9252,19,1,254,9233.9366929,20.617534909,350.00325246725265
111176,815,4,0,-324,792.7108519,15.400362629,349.99999996930603
111180,10000,21,1,304,9991.7209861,21.775242614,350.00240298182325
111190,4507,11,0,97,4473.2514272,15.268606256,350.0000000842033
111191,5000,12,0,334,4997.7924326,12.26999575,350.0044553640728
111195,1000,2,1,323,994.64524122,2.4547998777,349.99999999005604
111197,2893,6,1,334,2890.0475218,6.2696578194,350.0031443817509
111200,3000,8,0,115,2973.7269152,11.967061784,350.000000062106
111204,3500,9,1,186,3480.2857685,11.767951238,350.0019515992425
111206,2000,6,0,191,1985.9463055,8.6856749664,350.0000000567218
111215,5000,13,1,325,4997.0598634,13.422021571,350.00326286853885
111217,2314,5,1,262,2299.0371339,6.4833996919,350.00199093265746
111219,5000,12,1,296,4992.5512253,12.911019696,350.0022354562234
111220,3900,10,1,154,3876.3044515,13.307942735,350.0000001219539
111221,24300,33,0,-76,24117.81161,40.13441568,350.00568819073715
111222,4000,10,1,177,3978.0022205,12.919331979,350.0014867131049
111224,4000,10,0,-488,3893.4441724,24.140919652,350.0000000222931
111225,4000,10,0,-488,3893.4441724,24.140919652,350.0000000222931
111226,2000,6,0,-569,1918.7714669,21.522863547,350.00000265207404
111229,8000,18,1,337,7997.9599657,18.219292088,350.00509525383654
111231,23900,32,1,348,23899.115942,32.033651489,350.00999511101827
111233,3260,9,0,156,3239.759836,12.275550329,350.0000000739476
111234,11600,23,1,227,11575.181591,25.071734379,350.00284729739315
111235,6000,14,1,303,5993.1423233,14.792776961,350.0026037009811
111240,7000,16,1,254,6985.4058054,17.618991099,350.002412060775
111244,10000,19,1,147,9955.4145378,22.417602477,350.00086388170644
111247,3836,10,0,164,3814.2432302,13.139479489,350.00000013695876
111250,1112,5,0,-344,1084.6600503,16.736791882,350.0000030039598
111253,5000,12,0,-423,4893.376683,25.040538751,350.00001840121104
111257,3405,9,1,254,3394.0757456,10.62056044,350.00322733778705
111264,3852,8,1,320,3846.4801164,8.5055426276,350.0016088006262
111271,2654,8,0,-539,2576.1661296,23.016447316,350.0000001362223
111280,2000,6,1,282,1993.9893643,7.1486472315,350.0033544891485
111284,6000,12,1,308,5991.6699423,12.707503256,350.0021834666029
111287,1000,4,0,-404,962.47610118,16.748185364,350.00000000388025
111289,1000,4,1,147,989.89750093,7.4322040103,350.00001303817226
111290,7100,14,1,254,7080.4152505,15.616881314,350.0027375397294
111291,2891,8,0,267,2882.3805912,9.4014802885,350.00402118602733
111299,3421,9,0,-436,3330.720118,22.267536284,350.0000000347935
111311,55600,39,0,-502,54273.240776,52.860824344,350.0059460905095
111312,10000,21,0,-474,9851.7054088,34.886229361,350.0000065043014
111313,4000,10,1,282,3991.3531049,11.147521059,350.00283651631196
111314,4000,8,1,261,3982.3487806,9.499192982,350.0022433452027
111315,1700,4,1,216,1680.7727284,6.260269572,350.0000010611002
111316,5500,13,0,183,5476.2530167,15.817029292,350.00206205699385
111317,6700,13,1,220,6672.6150677,15.189121603,350.0014034750626
111318,2500,7,0,-637,2399.8860173,23.665996852,350.0000011241415
111321,78400,44,1,238,78133.401701,45.782998118,350.00036611906626
111324,5000,12,1,111,4967.0336386,16.031938782,350.00000014315515
111326,1200,3,1,297,1193.2607889,3.8943541085,350.0000000989372
111327,155600,53,1,108,154180.06342,56.495103322,350.0153441747334
111328,2000,6,0,-447,1929.5547588,19.462156917,350.0000006885782
111329,2000,4,1,237,1977.5893426,5.9034217115,350.0000000319967
111330,1600,6,1,243,1593.9423625,7.8087820914,350.0000002885895
111331,1000,4,0,-736,945.95365103,22.361444711,350.00000030526087
111332,4500,11,1,317,4495.6113513,11.556815865,350.0020960068023
111333,4000,8,1,33,3937.1311649,13.339687489,350.0000020234511
111335,9200,20,0,-405,9073.1676217,32.727259695,350.0000053522899
111337,1000,4,0,96,987.35978289,8.2944822855,350.0000324283361
111348,3500,9,0,-64,3450.233129,15.987305588,350.0000047827564
111350,6200,14,1,345,6199.2194317,14.084509229,350.01167098260953
111355,1500,5,0,297,1496.2038444,5.8956180334,350.0009737477401
111357,2500,5,1,340,2498.0157965,5.1685263845,350.00486705721346
111360,5000,12,0,-484,4884.9629023,26.069611399,350.0000367494197
111361,30400,35,1,244,30337.188661,36.767858142,350.00355385108514
111363,78900,43,1,115,78308.85639,46.728025164,350.02299117665325
111364,6500,14,1,286,6489.0476257,15.078842652,350.0035925869993
111367,3000,6,1,342,2998.4121322,6.1348638329,350.0064301578649
111369,63800,39,1,263,63623.791069,40.398093576,350.00010576518616
111389,4000,10,1,331,3997.5835593,10.320683515,350.0039114924259
111390,5000,11,1,339,4998.1945844,11.185542341,350.0055566569597
111391,5000,12,0,302,4993.3787869,12.809805088,350.0025681389568
111392,2500,7,1,305,2495.4353801,7.7598732336,350.0015015126819
111394,3000,6,1,305,2991.0751057,6.7580252889,350.00151330915594
111396,1113,5,0,-330,1086.163422,16.500006219,350.0000030569239
111401,7351,16,1,206,7326.8677048,18.427540568,350.0038419965301
111406,2401,7,0,-442,2326.8872779,20.375959902,350.0000001182261
111410,500,4,0,-457,489.95023908,17.657041136,350.0000004126837
111412,12000,23,0,-320,11855.380717,34.280797817,350.0000001540875
111418,500,4,0,172,497.78332165,7.0123337301,350.0000000049381
111419,700,4,0,251,697.5842964,5.6748979169,350.00001031408055
111420,2298,7,1,140,2279.9952105,10.547353892,350.00000313526016
111422,3000,6,1,323,2994.6449376,6.4548257054,350.0015332853725
111423,3000,8,1,305,2994.9686646,8.7596988246,350.0028845571268
111429,2500,7,0,-161,2448.1688572,15.628496212,350.00005955460676
111431,3000,8,1,346,2999.5506541,8.0678484187,350.0191908165124
111435,5000,12,0,-297,4910.7563478,22.914913891,350.00000699781754
111438,3000,8,0,-244,2933.5911193,18.027382606,350.00004026538477
111441,2230,7,1,242,2221.2792495,8.8246304613,350.00287440127977
111451,8500,17,1,328,8495.6363646,17.370620027,350.0025141079326
111454,1000,4,0,-333,966.0101934,15.547759937,350.0000135776204
111457,15000,27,0,-389,14819.270102,39.433558602,350.0000004577894
111458,815,4,0,-302,793.43889,15.028244377,350.00001166153027
111465,3000,8,1,259,2989.8258925,9.5362363875,350.0032567943755
111469,50800,36,1,130,50464.078872,39.58208179,350.0115098108804
111472,43500,38,1,164,43310.62236,41.068584084,350.00899791930715
111473,3000,8,0,-488,2906.3112974,22.146373507,350.0000000137351
111474,107300,56,1,307,107182.6682,56.67824593,350.0031057630558
111476,32800,35,1,234,32720.175756,36.929939339,350.00398299109156
111477,71700,41,1,274,71525.358287,42.212544984,350.0001438947156
111481,7500,15,1,117,7453.7904089,18.924769456,350.0008835376999
111482,7500,17,1,198,7476.5040886,19.563234417,350.0036115287197
111485,10000,21,1,331,9996.58,21.320247054,350.0032562245817
111487,10000,19,1,306,9990.3357263,19.740792983,350.0020797401819
111489,1500,5,0,347,1499.7830734,5.0511828309,350.0289022884315
111495,7500,17,1,278,7488.8700948,18.214191618,350.0033681801373
111503,1000,4,0,169,990.99235711,7.0602410711,350.0000148899326
111504,1082,5,1,237,1077.7851196,6.9111341681,350.00000008306097
111507,4415,11,0,69,4379.0262156,15.741661124,350.0000000674223
111510,10000,20,1,92,9948.8322447,24.345878995,350.00079870767627
111513,4000,10,0,98,3967.9569588,14.25240066,350.00000006052096
111519,1661,6,1,99,1645.6875562,10.242563679,350.000005696833
111523,3312,9,0,276,3304.0314708,10.249414851,350.00491881940775
111526,5000,12,0,-487,4884.5490991,26.120221507,350.0000366067229
111527,3000,8,0,-487,2906.4230978,22.129492393,350.00000001098226
111534,6025,14,1,225,6006.6101552,16.108341268,350.00432862996445
111549,540,2,1,-189,508.71934284,11.111203815,350.0000025840644
111559,4000,10,0,-232,3925.9958771,19.821020779,350.00001127960536
111560,3000,8,0,-389,2917.3795331,20.475143224,350.00000001608066
111565,38700,34,1,144,38492.580712,37.399426567,350.0042471755621
111566,6000,14,1,227,5982.0536705,16.074675152,350.00449988097535
111567,7500,17,1,336,7497.8352136,17.236162436,350.00478357531745
111568,31600,33,1,224,31509.541911,35.094698696,350.00289598027575
111569,78900,44,1,187,78507.336377,46.592927809,350.0009634734283
111570,4700,11,1,175,4674.6215174,13.951763272,350.00191400315714
111571,32300,36,1,302,32269.66293,36.800163187,350.0268050087366
111572,5000,10,1,238,4977.7873749,11.886607364,350.0017849643431
111574,4000,10,1,156,3975.3322604,13.273717528,350.002591541338
111575,77800,44,1,186,77415.22005,46.613226228,350.00263795483306
111576,102600,49,1,210,102149.87821,51.179464308,350.0155090785461
111578,1000,4,0,-204,972.42948428,13.36670394,350.00000383942483
111579,1000,4,0,-204,972.42948428,13.36670394,350.00000383942483
111583,9200,20,0,-312,9088.7906832,31.15953094,350.00000011619727
111587,6500,15,1,308,6493.7353465,15.708391434,350.00293583628047
111589,5500,13,1,322,5496.0181583,13.472351993,350.00246267167984
111590,94000,51,1,170,93543.447646,53.853616815,350.0000380306683
111592,71300,41,1,19,70547.371741,46.284326069,350.0000461860259
111596,40400,37,1,328,40379.556952,37.364079794,350.0187696076896
111598,8000,18,1,304,7992.7838314,18.775697066,350.0026365972626
111600,40400,36,1,323,40373.536194,36.4461715,350.0188377908653
111603,2000,6,1,204,1987.0953497,8.4660914789,350.0000000710306
111605,6992,14,1,283,6978.741893,15.128639398,350.0029161046116
111610,4100,10,1,345,4099.3303481,10.084586702,350.013470315698
111611,3450,9,0,-404,3361.9254243,21.726758972,350.0000000269073
111612,4025,8,1,294,4013.7543902,8.9433092584,350.0047096471832
111613,3000,8,1,279,2992.0619325,9.1985959748,350.0021848037237
111615,4670,11,1,318,4665.4179024,11.539804353,350.0020360378768
111621,2000,6,1,265,1992.4870186,7.4357381948,350.00000033997935
111622,3500,9,1,226,3485.093886,11.092856512,350.0023870938202
111625,2891,8,1,200,2875.4235525,10.532707868,350.00205870607647
111626,1300,5,1,268,1295.5866031,6.3862664764,350.00000020318487
111628,8000,16,1,218,7973.8206489,18.22351233,350.00274597461066
111633,15000,26,1,349,14999.189648,26.051743887,352.0769032989233
